user_id,TM_DayTrip_Freq,tier_status,ADT,city,travel_time_mins,age_grp,TM_gaming_trip,TM_gaming_day,TM_gaming_day_weekday,TM_gaming_day_weekend,TM_hourplayed,TM_hourplayed_TG,TM_hourplayed_ETG,TM_hourplayed_SLOT,TM_twin,TM_twin_TG,TM_twin_ETG,TM_twin_SLOT,TM_avgbet,TM_avgbet_TG,TM_avgbet_ETG,TM_avgbet_SLOT,L12M_gaming_trip,L12M_gaming_day,L12M_gaming_day_weekday,L12M_gaming_day_Fri,L12M_gaming_day_Sat,L12M_gaming_day_Sun,L12M_hourplayed,L12M_hourplayed_TG,L12M_hourplayed_ETG,L12M_hourplayed_SLOT,L12M_twin,L12M_twin_TG,L12M_twin_ETG,L12M_twin_SLOT,L12M_avgbet,L12M_avgbet_TG,L12M_avgbet_ETG,L12M_avgbet_SLOT,L12M_roomnight,L24M_gaming_trip,L24M_gaming_day,L24M_gaming_day_weekday,L24M_gaming_day_Fri,L24M_gaming_day_Sat,L24M_gaming_day_Sun,L24M_hourplayed,L24M_hourplayed_TG,L24M_hourplayed_ETG,L24M_hourplayed_SLOT,L24M_twin,L24M_twin_TG,L24M_twin_ETG,L24M_twin_SLOT,L24M_avgbet,L24M_avgbet_TG,L24M_avgbet_ETG,L24M_avgbet_SLOT,L24M_room_night,trip_twin,trip_bet,trip_gaming_day,trip_hour_played,dest_active_flag,log_ADT,log_avg_bet,twin_per_day,hours_per_day,days_per_trip,trips_per_month,hours_per_trip,pct_ETG,pct_SLOT,pct_TG,pct_weekday,pct_weekend,cluster_hdbscan,is_noise,hdbscan_confidence,cluster_fuzzy,fuzzy_confidence,umap_x,umap_y,ADT_old,ADT_recent,gaming_day_old,gaming_day_recent,hourplayed_old,hourplayed_recent,roomnight_old,roomnight_recent,migration_label,delta_ADT,delta_twin,delta_gaming_days,delta_hours,delta_roomnight,adt_ratio,persona_id,margin_tier,P_DOWNGRADE,P_STABLE,P_UPGRADE,pms_raw,pms_score,pms_bucket,pms_action_eligible,queue_score,host_lane
A17580,2,Supreme,2257,Makati_BGC,45.0,41 - 50,3,3,2,1,5.627,0.0,0.628,4.999,32236,0,4578,27658,746,0,5847,105,18,22,8,1,3,10,115,0,0,115,786883,0,0,786883,122,0,0,122,6,41,47,16,4,10,17,231.428,0.0,0.554,215.963,1698263,0,1385,1604674,152,0,2431,142,9,10745,248,1,1,1,7.722234744709607,4.812184355372417,35767.40909090909,5.227272727272728,1.2222222222222223,1.5,6.388888888888889,0.0,1.0,0.0,0.3636363636363636,0.6363636363636364,5,0,0.0,3.0,0.1668092163601781,4.2310843,4.93143,36455.2,35767.40909090909,25,22,116.428,115,3,6,STABLE,-687.7909090909088,-124497,-3,-1.4279999999999973,3,0.9811332564602332,5,HIGH,0.001318745570702418,0.9726982061071939,0.02598304832210362,0.028693634556786987,42.10526315789473,MONITOR,False,25.2708209346764,MONITOR
A23262,3,Supreme,1845,Makati_BGC,52.8,31 - 40,5,5,3,2,44.479,0.0,0.051,35.941,187814,0,29,158671,79,0,1035,77,44,80,39,13,16,12,415,1,7,331,2482529,2047,14945,2007931,164,1094,2069,96,64,70,146,75,25,28,18,940.985,2.621,53.639,567.22,4592966,6217,120139,3054892,326,1205,2038,90,125,37558,15,1,8,1,7.520776415062797,5.10594547390058,31031.6125,5.1875,1.818181818181818,3.6666666666666665,9.431818181818182,0.006020070661813,0.8088247911706168,0.0008245623716782,0.4875,0.5125,5,0,0.0,3.0,0.1668309300862951,4.758822,4.683534,31976.31818181818,31031.6125,66,80,525.985,415,61,64,STABLE,-944.7056818181809,372092,14,-110.98500000000001,3,0.9704560832661672,5,HIGH,0.0024329672040046303,0.9920365284435442,0.005530504352451165,0.004170409521714671,36.84210526315789,STABLE,False,22.10667901248007,MONITOR
A14700,4,Supreme,2679,Makati_BGC,52.2,Above 60,4,6,3,3,54.944,0.0,2.32,33.364,240596,0,9900,162330,392,0,3725,93,26,39,12,6,10,11,201,0,2,183,1338831,0,3601,1240992,157,0,2265,124,21,67,106,44,15,20,27,598.675,0.332,8.941,513.072,3752000,548,52750,3270960,284,437,5427,127,39,60143,87,1,13,1,7.893572073504902,5.062595033026967,34329.0,5.153846153846154,1.5,2.1666666666666665,7.730769230769231,0.0026896598599823,0.9269220685807246,0.0,0.3076923076923077,0.6923076923076923,5,0,0.0,3.0,0.1668157665030122,4.3774104,4.869363,36017.44776119403,34329.0,67,39,397.67499999999995,201,18,21,STABLE,-1688.447761194031,-1074338,-28,-196.67499999999995,3,0.9531213934871532,5,HIGH,0.010357468444336417,0.9801034380757883,0.00953909347987536,0.001648235901953888,31.57894736842105,STABLE,False,18.94919440225216,MONITOR
A10192,1,Premium,1819,Makati_BGC,57.6,Above 60,2,2,1,1,9.275,0.0,0.0,9.275,45402,0,0,45402,90,0,0,90,20,26,4,4,5,13,129,0,2,109,940527,0,10498,753786,292,0,5489,149,12,34,44,9,5,12,18,196.643,0.0,3.059,159.327,1698353,0,19931,1305962,333,0,5662,155,22,22701,44,1,4,1,7.506591780070841,5.680172609017068,36174.11538461538,4.961538461538462,1.3,1.6666666666666667,6.45,0.0111618273584915,0.8014506760571467,0.0,0.1538461538461538,0.8461538461538461,5,0,0.0,3.0,0.1667924130975951,4.213764,4.9814014,42101.444444444445,36174.11538461538,18,26,67.643,129,10,12,STABLE,-5927.329059829062,182701,8,61.357,2,0.8592131662453873,5,HIGH,0.603255821130582,0.39587960385771265,0.0008645750117053951,-0.5419359777540625,26.31578947368421,STABLE,False,15.729407474600977,RETENTION
A40902,1,Supreme,1792,Makati_BGC,48.6,51 - 60,2,2,0,2,9.549,0.0,0.0,9.549,56031,0,0,56031,130,0,0,130,25,44,21,12,8,3,205,2,0,183,1229394,3815,0,1101159,143,1094,0,129,11,52,84,36,22,18,8,453.024,12.855,0.0,349.348,2584666,29979,0,2066522,183,1115,0,127,20,28008,58,1,4,1,7.491645473605133,4.969813299576001,27940.772727272728,4.659090909090909,1.76,2.083333333333333,8.2,0.0,0.8956925119205071,0.0031031548876926,0.4772727272727273,0.5227272727272727,5,0,0.0,3.0,0.1668697360699989,5.1187735,4.3573837,33881.8,27940.772727272728,40,44,248.024,205,9,11,DOWNGRADE,-5941.027272727275,-125878,4,-43.024,2,0.8246543196427795,5,HIGH,0.8928653549604018,0.10695912998734647,0.00017551505225175978,-0.803376977154272,21.052631578947366,STABLE,False,12.542345066388055,RETENTION
A20204,1,Premium,2203,Pasay,96.6,Above 60,1,1,0,1,2.591,0.0,0.0,2.591,15337,0,0,15337,124,0,0,124,23,29,10,1,12,6,159,3,0,133,1092603,22027,0,903198,351,5394,0,144,14,36,49,17,3,20,9,332.326,8.519,0.0,250.861,2055825,32640,0,1586698,281,2987,0,136,28,15324,117,1,2,1,7.698029170272805,5.863631175598097,37675.96551724138,5.482758620689655,1.2608695652173914,1.9166666666666667,6.913043478260869,0.0,0.8266479224384338,0.0201601130511265,0.3448275862068966,0.6551724137931034,5,0,0.0,3.0,0.1667850592418292,4.1619377,4.9575715,48161.1,37675.96551724138,20,29,173.32600000000002,159,14,14,DOWNGRADE,-10485.134482758622,129381,9,-14.326000000000022,0,0.7822903861672881,5,HIGH,0.9962912304704377,0.0037083167246227044,4.5280493961745065e-07,-0.8966615866977133,15.789473684210526,STABLE,False,9.374055223320754,RETENTION
A18953,1,Supreme,2823,Makati_BGC,57.6,51 - 60,1,1,0,1,7.456,0.0,0.0,7.456,60860,0,0,60860,93,0,0,93,23,35,7,9,14,5,169,0,0,169,1258056,0,0,1258056,87,0,0,87,24,37,51,10,11,23,7,253.421,0.0,0.0,253.421,2080823,0,0,2080823,108,0,0,108,28,60857,87,1,7,1,7.945909598613133,4.477336814478207,35944.45714285714,4.828571428571428,1.5217391304347827,1.9166666666666667,7.3478260869565215,0.0,1.0,0.0,0.2,0.8,5,0,0.0,3.0,0.1668117713107251,4.2520185,4.9157195,51422.9375,35944.45714285714,16,35,84.42099999999999,169,4,24,DOWNGRADE,-15478.480357142857,435289,19,84.57900000000001,20,0.6989965741038645,5,HIGH,0.9999820306415131,1.7969071901538763e-05,2.8658519119526515e-10,-0.8999838272477889,10.526315789473683,STABLE,False,6.215791270706034,RETENTION
A7984,5,Maharlika,2881,Makati_BGC,57.6,51 - 60,4,5,3,2,21.974,0.0,0.0,21.974,304022,0,0,304022,222,0,0,222,30,35,16,8,7,4,115,0,0,115,1312400,0,0,1312400,201,0,0,201,15,62,71,35,18,12,6,258.179,0.0,0.0,258.179,3472500,0,0,3472500,215,0,0,215,25,76006,44,1,5,1,7.966239776559467,5.308267697401205,37497.142857142855,3.2857142857142856,1.1666666666666667,2.5,3.8333333333333335,0.0,1.0,0.0,0.4571428571428571,0.5428571428571428,5,0,0.0,3.0,0.1667803410956247,4.3663983,4.898659,60002.77777777778,37497.142857142855,36,35,143.17899999999997,115,10,15,DOWNGRADE,-22505.634920634926,-847700,-1,-28.178999999999974,5,0.624923449311209,5,HIGH,0.9999999794793977,2.052055325955063e-08,4.9093078096388734e-14,-0.8999999815314014,5.263157894736842,STABLE,False,3.0578947388941797,RETENTION
A7852,2,Premium,419,Pasay,96.6,51 - 60,3,6,3,3,102.926,0.568,43.808,3.637,179420,808,79694,2926,899,1094,958,15,40,80,53,21,2,4,594,51,74,151,895498,146072,142286,137232,683,2264,959,17,46,63,109,64,35,4,6,620.866,57.979,90.981,151.478,928497,157676,159811,137290,706,2189,979,17,57,59793,292,2,34,1,6.040254711277414,6.52795791762255,11193.725,7.425,2.0,3.333333333333333,14.85,0.1588903604474828,0.153246573415016,0.1631181755849817,0.6625,0.3375,6,0,0.0,3.0,0.1668150801988131,5.6178074,3.9248753,1137.896551724138,11193.725,29,80,26.865999999999985,594,11,46,UPGRADE,10055.828448275863,862499,51,567.134,35,9.837207945695324,6,MEDIUM,2.545490623463401e-170,6.228885141915554e-11,0.9999999999377112,0.9999999999377112,100.0,HIGH,True,60.29999999998131,GROWTH
A51169,19,Premium,73,Mandaluyong_Pasig,182.4,Above 60,5,21,12,9,26.708,0.0,26.708,0.0,18590,0,18590,0,626,0,626,0,47,192,109,28,31,24,407,1,401,0,197048,1604,191756,0,519,547,519,0,34,47,192,109,28,31,24,407.157,0.532,401.078,0.0,197048,1604,191756,0,519,547,519,0,34,3718,117,4,5,1,4.30406509320417,6.253828811575473,1026.2916666666667,2.1197916666666665,4.085106382978723,3.9166666666666665,8.659574468085106,0.9731435995290488,0.0,0.0081401485932361,0.5677083333333334,0.4322916666666667,3,0,0.0,3.0,0.1666782396352929,3.084242,1.7671632,,1026.2916666666667,0,192,0.15699999999998226,407,0,34,STABLE,,197048,192,406.843,34,,3,HIGH,5.708031922597138e-09,2.4651549406373306e-07,0.999999747776474,1.1499997048057164,100.0,HIGH,True,60.299999923762144,GROWTH
